         9419130906 function calls (9037817859 primitive calls) in 13814.526 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2910304 4545.223    0.002 4552.395    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   121258 2953.018    0.024 2953.018    0.024 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
  3393280   19.591    0.000  420.325    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\encoder.py:349(FieldSize)
  4843783   18.799    0.000   53.883    0.000 C:\Users\puyan\OneDrive\Desktop\M.S. Aerospace Engineering Sciences\Special Topics in Sequential Decision Making\Final Project\python\chess_api.py:204(action_2_action_space_ndx)
 78545837   18.604    0.000   63.713    0.000 C:\Users\puyan\anaconda3\lib\abc.py:117(__instancecheck__)
   838535   18.267    0.000   42.169    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:955(board_fen)
 39143582   18.019    0.000   23.377    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\decoder.py:549(_ConvertToUnicode)
 47384710   17.934    0.000   24.909    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1459(_UpdateOneofState)
  1212356   17.591    0.000   19.765    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\constant_op.py:74(convert_to_eager_tensor)
134033460   17.483    0.000   17.483    0.000 {method 'tobytes' of 'memoryview' objects}
 48959952   17.357    0.000   24.708    0.000 {method 'sort' of 'list' objects}
 39022836   17.345    0.000   31.530    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:644(getter)
  7515100   17.164    0.000  844.300    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:1568(convert_to_tensor)
 81443272   17.114    0.000   30.171    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:701(piece_at)
  4120404   16.781    0.000   92.772    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\func_graph.py:524(inner_cm)
37448890/30661874   16.729    0.000  158.721    0.000 C:\Users\puyan\anaconda3\lib\contextlib.py:114(__enter__)
 89679536   16.719    0.000   16.719    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\containers.py:65(__getitem__)
  3514466   16.700    0.000  204.038    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:1879(_NodeDef)
   363558   16.621    0.000 3454.304    0.010 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\func_graph.py:1102(func_graph_from_py_func)
 26418812   16.590    0.000   23.390    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\containers.py:216(__init__)
 28842868   16.585    0.000   26.762    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\compat.py:89(as_text)
  3514466   16.535    0.000 1776.268    0.001 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\func_graph.py:683(_create_op_internal)
 94017521   16.387    0.000   16.387    0.000 C:\Users\puyan\anaconda3\lib\site-packages\chess\__init__.py:711(piece_type_at)
556019/269812   16.289    0.000 13622.354    0.050 C:\Users\puyan\OneDrive\Desktop\M.S. Aerospace Engineering Sciences\Special Topics in Sequential Decision Making\Final Project\python\MCTS.py:78(search)
 37448890   16.281    0.000   51.625    0.000 C:\Users\puyan\anaconda3\lib\contextlib.py:261(helper)
  5332288   16.055    0.000  301.444    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:4194(_get_op_def)
 15633226   15.930    0.000   26.753    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\util\compat.py:61(as_bytes)
 26418812   15.489    0.000   38.878    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:436(MakeRepeatedMessageDefault)
  1696644   15.471    0.000  122.769    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\op_def_library.py:316(_ExtractAttrProto)
   363558   15.188    0.000  772.897    0.002 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\eager\polymorphic_function\monomorphic_function.py:210(__init__)
